word,count
真的,994
允悲,983
一个,863
cry,739
评论,721
doge,695
call,662
期待,622
喜欢,577
感觉,514
哈哈哈,468
宝宝,390
好看,335
可爱,333
孩子,332
老师,319
姐姐,287
微博,272
特别,257
支持,256
很多,252
查看,251
花花,250
中国,240
确实,239
别人,239
转发,228
嘻嘻,223
哈哈哈哈,220
抱抱,214
爱慕,209
鲜花,204
一点,201
视频,199
啊啊啊,194
苦涩,193
幸福,191
无聊,189
世界,185
这是,183
希望,182
生活,182
粉丝,179
关注,179
开心,179
good,178
好好,176
泪奔,164
快乐,163
看着,163
提问,160
东西,159
一抱,158
谢谢,154
微笑,151
两个,151
身体,150
流鼻血,149
角色,148
好像,147
工作,147
努力,146
美国,143
祈祷,141
肯定,139
拜托,139
健康,138
只能,137
厉害,137
不好,136
妈妈,135
时间,134
有人,132
发现,132
二哈,132
演员,130
漂亮,128
历史,128
小心,128
AI,128
整体,125
语音,124
到底,124
手机,123
建议,120
不行,120
不想,119
内容,117
公司,117
朋友,116
不用,116
本来,116
女性,115
电影,115
淡淡的,113
日本,112
双人,112
永远,112
不了,110
有没有,109
事情,108
天天,108
每次,108
加油,107
第一,106
那种,106
图片,105
理解,104
选择,104
悲允,102
不错,102
好美,101
可怜,100
简单,100
舒服,99
氛围,99
时代,99
网友,99
还要,98
好多,98
记得,98
围绕,98
白鹿,97
为啥,97
豆包,94
女人,94
关系,94
超级,93
几个,92
不到,92
儿子,92
奔泪,91
好吃,91
悲允悲,91
ai,91
兔子,91
作者,91
简直,91
居然,91
恭喜,91
质疑,90
影响,90
手指,90
想要,90
博主,89
讨论,88
女生,87
老公,87
goodgoodgood,86
衣服,86
比心,86
眼睛,86
收到,86
小孩,85
美好,85
分享,85
国家,84
泪泪,84
能力,82
五一,82
平台,82
结婚,81
开学,81
微博智,81
一种,81
才能,81
虞书欣,80
地方,80
未来,80
休息,79
设计,79
赵露思,79
表达,79
互动,79
博文,79
鼓掌,78
是因为,77
适合,77
演唱会,77
我家,76
人生,76
文化,76
超话,76
运动,76
演技,75
作揖,75
男人,75
柯基,75
用户,75
偷笑,75
父母,75
疑问,74
家里,74
机会,74
房子,74
辛苦,73
体重,73
女主,73
优秀,72
上班,72
合作,72
游戏,72
馋嘴,72
值得,71
国内,71
小时候,71
温柔,70
一张,70
思考,70
自由,69
情绪,69
生命,69
就算,69
家族,69
一句,69
吃饭,68
大学,68
原因,68
感受,68
男主,68
专业,68
样子,68
照片,68
减肥,67
现实,67
小时,66
展开,66
回来,66
裂开,66
舞台,65
想到,65
工作室,65
治愈,65
反正,65
类似,65
实力,64
风格,64
不语,64
终于,64
信息,64
真实,64
憧憬,64
故事,64
人类,63
名字,63
状态,63
收费,63
小米,63
女儿,62
太美,62
看过,62
品牌,62
唯一,62
身上,62
泪泪泪,62
当年,62
同学,62
女神,62
哥哥,61
估计,61
工作人员,61
热巴,61
免费,60
情况,60
节目,60
作品,60
icon,60
导致,60
社会,60
小猫,60
来说,60
善良,60
学校,60
一只,59
成功,59
感谢,59
教育,59
晚上,59
审美,59
官方,59
越来越,59
明天,59
鞠婧,58
颜值,58
相关,58
观点,58
看起来,58
发生,58
心心心,57
下次,57
我要,57
小狗,56
对方,56
你好,56
细节,56
小说,56
维权,56
伊朗,56
苹果,56
羡慕,56
焦虑,56
指出,56
同意,56
全是,55
官微,55
力量,55
方式,55
年轻,55
笑哈哈,55
拒绝,55
体验,55
更好,54
铭记,54
接受,54
聚焦,54
假期,54
夏天,54
宝贝,54
第一次,54
老婆,54
日常,54
害怕,54
高柱,54
调侃,53
点赞,53
睡觉,53
女孩,53
办法,53
牛奶,53
身材,53
来看,52
去年,52
美女,52
引发,52
黑线,52
身高,52
保护,52
费解,52
心疼,52
知识,51
有个,51
意义,51
严浩翔,51
好好看,51
说话,51
精神,51
便宜,51
回家,51
杨幂,51
太阳,51
压力,50
老板,50
dogedogedoge,50
解决,50
反而,50
这次,50
摊手,50
全球,50
毕竟,49
作业,49
声音,49
推荐,49
控制,49
不吃,49
活动,49
一年,49
对比,49
表现,49
操作,49
医生,49
赞赞赞,49
律师,48
几年,48
数据,48
好奇,48
流量,48
哇哇,48
本身,48
千问,48
告诉,48
致敬,48
超越,47
明明,47
程度,47
道歉,47
赞赞,47
争议,47
真心,47
家长,47
长期,47
解读,46
迪丽,46
明白,46
回复,46
反对,46
技术,46
游客,46
宣传,46
价格,46
温暖,46
试试,45
预约,45
尊重,45
找到,45
故意,45
痛痛,45
功能,45
干嘛,45
热度,45
情感,45
北京,44
美的,44
他俩,44
不愧,44
付费,44
流汗,44
只会,44
学生,44
可怕,44
干净,44
第一个,44
效果,44
吃惊,44
景区,43
奶牛,43
肌肉,43
难道,43
不让,43
呼吁,43
妈呀,43
生日快乐,43
网络,43
dogedoge,43
原博,43
请问,43
CP,43
卢昱晓,43
一个月,42
法律,42
有时候,42
不算,42
恶意,42
卧槽,42
剧情,42
成本,42
女方,42
时光,42
没事,42
正确,42
搞笑,42
兄弟,42
进去,41
核心,41
同事,41
发布,41
风险,41
项目,41
心心,41
惊喜,41
企业,41
心情,41
吓人,41
轻松,41
家庭,41
长大,41
团队,41
差不多,41
还好,41
赚钱,41
网上,41
明星,41
幽默,41
普通人,41
味道,41
张婧仪,41
美丽,40
干饭,40
造型,40
群体,40
包括,40
观众,40
樊振东,40
昨天,40
随便,40
穆祉,40
提供,40
赶紧,40
文字,40
给力,40
拥有,40
男性,40
可惜,40
三个,40
代表,39
参加,39
冰箱,39
提前,39
道理,39
哇塞,39
价值,39
深圳,39
气质,39
好萌,39
全世界,39
孙颖莎,38
环境,38
华为,38
一条,38
很大,38
发展,38
短剧,38
温馨,38
有趣,38
现场,38
竟然,38
就要,38
马上,38
表演,38
脂肪,38
震惊,38
放弃,37
印象,37
挤眼,37
离谱,37
青春,37
少年,37
附体,37
城市,37
性格,37
敬业,37
头发,37
回去,37
经历,37
我会,37
行业,37
提及,37
自信,37
顺利,37
身边,36
一堆,36
态度,36
所有人,36
燕洵,36
太好了,36
活着,36
国外,36
眼神,36
人物,36
担心,36
好运,36
没错,36
收藏,36
锦鲤,36
这波,36
拍摄,36
恐怖,36
单身,35
资源,35
电视剧,35
猫猫,35
提升,35
需求,35
证明,35
cp,35
感情,35
生成,35
心理,35
关键,35
充满,35
代言人,35
学到,35
质量,35
健身,35
玩意,35
峰峻,35
性别,35
聪明,35
呈现,35
表情,35
事件,35
时期,35
男女,35
依旧,35
体检,35
一看,35
难受,35
方法,35
几天,35
食物,34
广告,34
链接,34
狗狗,34
年轻人,34
英语,34
旅行,34
公主,34
最终,34
责任,34
德甲,34
造谣,34
自然,34
标准,34
高中,34
早就,34
不少,34
这句,34
外面,34
浪费,34
经典,34
产品,34
转播,34
蛋糕,34
男生,34
持续,33
bro,33
没想到,33
恋爱,33
大部分,33
市场,33
强大,33
多年,33
直播,33
电池,33
区别,33
十年,33
有钱,33
心态,33
抓狂,33
经济,33
香港,33
带来,33
出门,33
爸爸,33
付出,33
逻辑,33
回应,33
动作,33
计划,33
智慧,33
阳光,33
一块,33
至少,32
动物,32
之间,32
死亡,32
一口,32
浪漫,32
学会,32
能量,32
很难,32
早安,32
放在,32
稳定,32
同谋,32
讨厌,32
水平,32
母亲,32
垃圾,32
莫名其妙,32
父亲,32
镜头,32
呵呵,31
认知,31
享受,31
医院,31
一番,31
意识,31
典型,31
年龄,31
艺人,31
想着,31
脑子,31
消费,31
宁波,31
震撼,31
慢慢,31
感动,31
有意思,31
彩虹,31
怀疑,31
位置,31
悲伤,31
空间,31
规划,31
模式,31
欧洲,31
说法,30
危险,30
小笼包,30
女士,30
没人,30
从来,30
春天,30
综艺,30
错误,30
印度,30
回归,30
wtt,30
自我,30
音乐,30
酒店,30
结束,30
公开,30
文案,30
歌声,30
体现,30
壁纸,30
姐妹,30
照顾,30
友谊,30
心给,30
基础,30
认可,30
没什么,30
记忆,30
分析,30
工人,30
痛苦,30
大人,30
舟渡,30
彩礼,30
赔偿,30
从小,30
颜色,30
攻击,29
平时,29
批评,29
刘宇宁,29
节奏,29
负责,29
台湾,29
想起,29
举手,29
爱看,29
瞬间,29
饮食,29
泪奔泪,29
一群,29
豆豆,29
独居,29
崩溃,29
改变,29
花钱,29
化妆,29
毕业,29
时刻,29
航母,29
刑诉,29
在家,29
画面,29
设备,29
获取,29
概率,29
完美,29
南宋,29
出道,29
做饭,29
另有,29
赵丽颖,29
运动员,29
符合,29
宋亚轩,29
很棒,28
领导,28
许愿,28
吃瓜,28
好玩,28
本人,28
比赛,28
想法,28
新闻,28
期间,28
小学,28
本质,28
没用,28
角度,28
就行了,28
回到,28
答案,28
学历,28
弟弟,28
美食,28
婚礼,28
理性,28
变得,28
背后,27
张凌赫,27
检查,27
王楚,27
五月,27
读者,27
dyn,27
这才,27
一场,27
天呐,27
俄罗斯,27
一辈子,27
爱女,27
全国,27
至今,27
听到,27
营销,27
热爱,27
TFING,27
关心,27
职业,27
过程,27
零食,27
阴险,27
科普,27
提醒,27
增加,27
央视,27
拉满,27
妻子,26
三公,26
女配,26
基本上,26
发声,26
变化,26
邓为,26
肚子,26
文明,26
不说,26
软件,26
高级,26
小女孩,26
想想,26
女孩儿,26
满分,26
怀孕,26
解释,26
有点像,26
老人,26
相处,26
纯粹,26
离婚,26
服务,26
女孩子,26
艺术,26
形象,26
媒体,26
优质,26
调整,26
受伤,26
红海,26
啥时候,26
有用,25
三年,25
年代,25
工具,25
大概,25
宝妈,25
演绎,25
人民,25
到处,25
剧组,25
展示,25
和解,25
后续,25
女王,25
奇怪,25
祝福,25
好听,25
很漂亮,25
春游,25
实在,25
说实话,25
对象,25
就业,25
守护,25
员工,25
蜡烛,25
plq,25
英雄,25
司机,25
没见,25
减少,25
工资,25
创意,25
对待,25
幼儿园,25
跟着,25
偷偷,25
公益,25
担忧,25
离开,25
婚姻,25
今晚,25
一步,25
张元英,25
成长,25
刚刚,25
吸引,24
在于,24
舒适,24
下班,24
没关系,24
维护,24
韩国,24
配合,24
针对,24
生气,24
想象,24
骄傲,24
半导体,24
食堂,24
训练,24
展现,24
真诚,24
实际上,24
诉求,24
开放,24
买房,24
安排,24
投资,24
智商,24
比例,24
保障,24
一家,24
同款,24
初中,24
睡眠,24
千万,24
芯片,24
开机,24
舆论,24
地图,24
涉及,24
释放,24
水果,24
节目组,24
妹妹,24
这张,24
皱眉,24
像是,24
第二,24
白月光,24
狠狠,24
重复,24
江山,24
高考,24
一件,23
嘲讽,23
分钟,23
好笑,23
一部,23
用心,23
更新,23
未成年,23
再也,23
两天,23
表态,23
鸡蛋,23
管理,23
系统,23
培养,23
上次,23
古代,23
都灵,23
装修,23
皮肤,23
账号,23
合适,23
感恩,23
微风,23
公众,23
评价,23
不住,23
美美,23
在线,23
问问,23
旅游,23
言论,23
呜呜,23
勇敢,23
毛病,23
家人,23
投入,23
合照,23
回忆,23
神奇,23
一把,23
实用,23
邻居,23
这份,23
事实,23
wwzz,23
再见,23
中文,23
美元,23
长得,23
并非,23
消失,23
显示,23
套路,23
旁边,23
晚安,23
战争,23
大同,23
主动,23
演出,23
谁家,23
眼泪,23
半个,23
无敌,22
早点,22
广东,22
吸烟,22
承认,22
偷乐,22
裙子,22
一路,22
社交,22
美味,22
解锁,22
早上,22
替代,22
精致,22
伤害,22
物业,22
社区,22
好帅,22
陈哲远,22
破防,22
研究,22
中介,22
法院,22
愉快,22
感到,22
承担,22
商务,22
概念,22
多多,22
猫咪,22
中午,22
难吃,22
谢娜,22
好事,22
风景,22
嘉宾,22
证据,22
就行,22
客户,22
立马,22
惊艳,22
违法,22
超过,22
右边,22
屏幕,22
大脑,22
厕所,22
等于,22
完整,22
接触,22
求求,22
打算,22
疯狂,21
抽烟,21
奶奶,21
视觉,21
做好,21
一生,21
一遍,21
单纯,21
这部,21
杂志,21
精彩,21
专属,21
定制,21
系列,21
多久,21
规则,21
差异,21
优势,21
极端,21
魅力,21
黄金,21
顶级,21
资本,21
奶茶,21
不怎么,21
显得,21
baby,21
同框,21
灵魂,21
耳朵,21
夸张,21
小贝,21
摩登,21
搭配,21
一半,21
生产,21
看不懂,21
模仿,21
天才,21
建设,21
结局,21
形容,21
人间,21
对面,21
一套,21
自动,21
拍照,21
高度,21
康乐,21
下午,21
走路,21
人员,21
时尚,21
上海,21
年纪,21
碳水,21
月亮,21
人心,21
案例,20
劳动,20
咖啡,20
权益,20
一单,20
提高,20
距离,20
羞嗒,20
左边,20
开车,20
实则,20
路上,20
威武,20
近期,20
打开,20
黄瓜,20
精力,20
打卡,20
TF,20
蓝莓,20
goodgood,20
日子,20
缺乏,20
洗衣机,20
基因,20
事儿,20
参与,20
主题,20
嘿嘿,20
当地,20
国产,20
专家,20
欣赏,20
重点,20
面前,20
遇见,20
礼貌,20
情商,20
支付,20
突破,20
当事人,20
男子,20
权利,20
恶心,20
欲望,20
太难,20
乌克兰,20
面对,20
